Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",-163.565221,-96.349696,-90.000000,bottom
"C2","27pF","C_0402_1005Metric",-151.910817,-77.619574,-45.000000,bottom
"C3","27pF","C_0402_1005Metric",-146.781044,-82.732665,-45.000000,bottom
"C4","1uF","C_0402_1005Metric",-161.437287,-85.548232,-90.000000,bottom
"C5","1uF","C_0402_1005Metric",-162.398004,-87.429784,-90.000000,bottom
"C6","10uF","C_0402_1005Metric",-178.907374,-95.676257,-90.000000,bottom
"C7","0.1uF","C_0402_1005Metric",-163.380518,-87.429524,-90.000000,bottom
"C8","0.1uF","C_0402_1005Metric",-164.379258,-83.662303,90.000000,bottom
"C9","0.1uF","C_0402_1005Metric",-164.354373,-87.434344,-90.000000,bottom
"C10","0.1uF","C_0402_1005Metric",-162.414387,-83.661648,90.000000,bottom
"C11","10uF","C_0402_1005Metric",-178.906924,-92.515436,90.000000,bottom
"C12","0.1uF","C_0402_1005Metric",-161.422972,-83.661648,90.000000,bottom
"C13","0.1uF","C_0402_1005Metric",-162.409364,-85.548488,-90.000000,bottom
"C14","0.1uF","C_0402_1005Metric",-163.396822,-83.670628,90.000000,bottom
"C15","0.1uF","C_0402_1005Metric",-164.374234,-85.553922,-90.000000,bottom
"C16","0.1uF","C_0402_1005Metric",-163.391799,-85.545596,-90.000000,bottom
"IC1","W25Q16JVUXIQ_TR","SON50P300X200X60-9N",-160.050406,-94.156466,0.000000,bottom
"J2","USB_C_Receptacle","USB_C_Receptacle_Amphenol_12401610E4-2A",-172.684217,-80.049247,0.000000,bottom
"LED1","MX_SK6812MINI-E","LED_MX_6028R",-131.863342,-99.126575,0.000000,bottom
"LED2","MX_SK6812MINI-E","LED_MX_6028R",-131.846092,-118.164938,0.000000,bottom
"LED3","MX_SK6812MINI-E","LED_MX_6028R",-150.888012,-99.126575,0.000000,bottom
"LED4","MX_SK6812MINI-E","LED_MX_6028R",-150.888012,-118.164937,0.000000,bottom
"LED5","MX_SK6812MINI-E","LED_MX_6028R",-169.963342,-99.126575,0.000000,bottom
"LED6","MX_SK6812MINI-E","LED_MX_6028R",-169.946092,-118.164938,0.000000,bottom
"R1","1k","R_0603_1608Metric",-123.318505,-82.258393,-90.000000,bottom
"R2","10k","R_0603_1608Metric",-161.526837,-96.522003,0.000000,bottom
"R3","1k","R_0603_1608Metric",-152.538734,-80.289775,-135.000000,bottom
"R4","27.4","R_0603_1608Metric",-169.120529,-86.807591,180.000000,bottom
"R5","27.4","R_0603_1608Metric",-169.112743,-88.316774,180.000000,bottom
"R6","5k1","R_0603_1608Metric",-166.447916,-81.392090,-90.000000,bottom
"R7","5k1","R_0603_1608Metric",-166.439126,-84.417752,90.000000,bottom
"R8","1k","R_0603_1608Metric",-144.388228,-79.187212,-90.000000,bottom
"SW1","BOOT","SW_Push_1P1T_NO_6x6mm_H9.5mm",-127.484645,-77.423494,180.000000,bottom
"SW2","RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",-138.534645,-77.423494,180.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",-154.796884,-85.636404,45.000000,bottom
"U2","DRV5057A3","DRV5057A3_K",-131.863342,-104.206575,90.000000,bottom
"U3","DRV5057A3","DRV5057A3_K",-131.846092,-123.244938,90.000000,bottom
"U4","DRV5057A3","DRV5057A3_K",-150.888012,-104.206575,90.000000,bottom
"U5","DRV5057A3","DRV5057A3_K",-150.888012,-123.244937,90.000000,bottom
"U6","CD74HC4067M","SOIC-24W_7.5x15.4mm_P1.27mm",-132.569250,-87.612248,90.000000,bottom
"U7","DRV5057A3","DRV5057A3_K",-169.963342,-104.206575,90.000000,bottom
"U8","DRV5057A3","DRV5057A3_K",-169.946092,-123.244938,90.000000,bottom
"U9","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",-173.958591,-92.989021,180.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_5032-2Pin_5.0x3.2mm",-148.999776,-79.818714,-135.000000,bottom
