"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x03_Female";;;
2;"LED6,LED3,LED5,LED4,LED2,LED1";"LED_MX_6028R";6;"MX_SK6812MINI-E";;;
3;"C11,C6";"C_0402_1005Metric";2;"10uF";;;
4;"R4,R5";"R_0603_1608Metric";2;"27.4";;;
5;"C16,C15,C10,C8,C1,C13,C14,C7,C12,C9";"C_0402_1005Metric";10;"0.1uF";;;
6;"R1,R8,R3";"R_0603_1608Metric";3;"1k";;;
7;"U5,U3,U8,U2,U7,U4";"DRV5057A3_K";6;"DRV5057A3";;;
8;"C5,C4";"C_0402_1005Metric";2;"1uF";;;
9;"SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"RESET";;;
10;"C3,C2";"C_0402_1005Metric";2;"27pF";;;
11;"U6";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"CD74HC4067M";;;
12;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
13;"R2";"R_0603_1608Metric";1;"10k";;;
14;"R6,R7";"R_0603_1608Metric";2;"5k1";;;
15;"U9";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
16;"J2";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
17;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"ABLS-12.000MHZ-B4-T";;;
18;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"BOOT";;;
19;"IC1";"SON50P300X200X60-9N";1;"W25Q16JVUXIQ_TR";;;
