"Reference","Qty","Value","IPN","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer_Name","Manufacturer_Part_Number"
"Y2,Y3","2","ABM8-272-T3","CLK-000062","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","",""
"U64,U79","2","RP2350_80QFN","ICS-000063","","","","RP2350_80QFN_minimal:RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias","","","",""
"U34,U35,U36,U37,U73,U74,U75,U76","8","74HC4051","ICS-000064","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf","CD74HC4051PWR","",""
"U33,U72","2","NCP1117-3.3_SOT223","PWR-000043","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","NCP1117LPST33T3G","",""
"U25,U49","2","W25Q128JVP","ICS-000065","","","","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","",""
"U10","1","OLED_256x64_I2C","MIS-000056","","","","lib:OLED_256x64_I2C","","HEADER","",""
"U1,U2,U3,U4,U5,U6,U7,U8,U9,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U26,U27,U28,U29,U30,U31,U32,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U65,U66,U67,U68,U69,U70,U71,U77,U78","64","DRV5057A3","ICS-000049","","","","lib:DRV505x","https://www.ti.com/lit/ds/symlink/drv5057.pdf","DRV5057A3","",""
"SW1,SW2,SW3,SW4","4","SW_Push","MEC-000040","","","","Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","","","",""
"R24,R25,R27,R28","4","27","RES-000070","","","","Resistor_SMD:R_0402_1005Metric","","","",""
"R22,R26","2","33","RES-000071","","","","Resistor_SMD:R_0402_1005Metric","","","",""
"R17,R18,R19,R20","4","56k","RES-000072","","","","Resistor_SMD:R_0402_1005Metric","","ERJ-3EKF1002V","",""
"R11,R13","2","DNF","","DNP","","","Resistor_SMD:R_0402_1005Metric","","ERJ-3EKF1002V","",""
"R6,R7,R14,R15","4","5k1","RES-000015","","","","Resistor_SMD:R_0402_1005Metric","","ERJ-3EKF5101V","",""
"R1,R2,R12,R16,R21,R23","6","1k","RES-000011","","","","Resistor_SMD:R_0402_1005Metric","","","",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64","64","MX_SK6812MINI-E","DIO-000012","","","","lib:LED_MX_SK6812MINI-R","","SK6812MINI-E","",""
"L2,L3","2","3.3u","IND-000067","","","","RP2350_80QFN_minimal:L_pol_2016","","AOTA-B201610S3R3-101-T","",""
"J6,J7","2","USB_C_Interlink","CON-000041","","","","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","12401832E402A","",""
"J2,J4","2","USB_C_To_Host","CON-000041","","","","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","12401832E402A","",""
"C40,C41,C42,C43","4","15p","CAP-000069","","","","Capacitor_SMD:C_0402_1005Metric","","","",""
"C14,C17,C24,C25","4","4.7u","CAP-000024","","","","Capacitor_SMD:C_0402_1005Metric","","","",""
"C12,C13,C21,C22","4","4.7u","CAP-000024","","","","RP2350_80QFN_minimal:C_0402_1005Metric_small_pads","","","",""
"C6,C10,C16,C20","4","10uF","CAP-000021","","","","Capacitor_SMD:C_0402_1005Metric","","GRM155R60J106ME15D","",""
"C4,C5,C15,C18,C19,C23,C26,C27,C32,C33,C34,C35,C36,C37,C38,C39,C44,C45,C46,C47,C48,C49,C50,C51","24","100n","CAP-000025","","","","Capacitor_SMD:C_0402_1005Metric","","","",""
